Class 1,Term 1,Similarity,Class 2,Term 2,Comment,Reasoning,Factors
3,Hair spray,2,3,Hair bleaching preparations,,"['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
9,Heat sensors,2,9,Signalling apparatus,"They are commonly integrated into a single system, e.g. fire alarm, which serves the same purpose and satisfies the same needs of the public. Furthermore, they share the channels of distribution and are produced by the same undertakings.","['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
1,Industrial chemicals,2,1,Sensitised paper,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
1,Industrial chemicals,2,1,Adhesives for use in industry,"Industrial chemicals are substances that are in their raw, unfinished state and are used as ingredients or components in finished products in industry, such as mechanical industry, footwear industry, construction, fire protection etc. Chemical companies producing industrial chemicals may also produce finished products such as adhesives for use in industry. The goods may share the same distribution channels and target the same relevant public. Therefore, these are considered to be similar.","['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
1,Industrial chemicals,2,1,Photosensitive plates,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
1,Industrial chemicals,2,1,Fire extinguishing compositions,"Industrial chemicals are substances that are in their raw, unfinished state and are used as ingredients or components in finished products in industry, such as mechanical industry, footwear industry, construction, fire protection etc. Chemical companies producing industrial chemicals may also produce finished products such as fire extinguishing compositions. The goods may share the same distribution channels and target the same relevant public. Therefore, these are considered to be similar.","['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
1,Industrial chemicals,2,1,Chemicals for use in agriculture,"Industrial chemicals are substances that are in their raw, unfinished state and are used as ingredients or components in finished products in industry, such as mechanical industry, footwear industry, construction, fire protection etc. These are similar to chemicals used in other fields (e.g. forestry, science, agriculture) as they can have the same or similar nature, being all chemicals and may originate from the same chemical company.","['1. Nature', '8. Producer / Provider']","[1, 8]"
1,Industrial chemicals,2,1,Power steering fluid,"Industrial chemicals are substances that are in their raw, unfinished state and are used as ingredients or components in finished products in industry, such as mechanical industry, footwear industry, construction, fire protection etc. Chemical companies producing industrial chemicals may also produce finished products such as power steering fluid. The goods may share the same distribution channels and target the same relevant public. Therefore, these are considered to be similar.","['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
1,Industrial chemicals,2,1,Cement [metallurgy],"Industrial chemicals are substances that are in their raw, unfinished state and are used as ingredients or components in finished products in industry, such as mechanical industry, footwear industry, construction, fire protection etc. Chemical companies producing industrial chemicals may also produce finished products such as cement. The goods may share the same distribution channels and target the same relevant public. Therefore, these are considered to be similar.","['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
1,Industrial chemicals,2,1,Transmission fluid,"Industrial chemicals are substances that are in their raw, unfinished state and are used as ingredients or components in finished products in industry, such as mechanical industry, footwear industry, construction, fire protection etc. Chemical companies producing industrial chemicals may also produce finished products such as transmission fluid. The goods may share the same distribution channels and target the same relevant public. Therefore, these are considered to be similar.","['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
1,Industrial chemicals,2,1,Brake fluid,"Industrial chemicals are substances that are in their raw, unfinished state and are used as ingredients or components in finished products in industry, such as mechanical industry, footwear industry, construction, fire protection etc. Chemical companies producing industrial chemicals may also produce finished products such as brake fluid. The goods may share the same distribution channels and target the same relevant public. Therefore, these are considered to be similar.","['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
1,Industrial chemicals,2,1,"Cinematographic film, sensitized but not exposed",,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
1,Industrial chemicals,2,1,"X-ray films, sensitized but not exposed",,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
1,Industrial chemicals,2,1,Chemical preparations for use in photography,"Industrial chemicals are substances that are in their raw, unfinished state and are used as ingredients or components in finished products in industry, such as mechanical industry, footwear industry, construction, fire protection etc. These are similar to chemicals used in other fields (e.g. forestry, science, agriculture) as they can have the same or similar nature, being all chemicals and may originate from the same chemical company.","['1. Nature', '8. Producer / Provider']","[1, 8]"
1,Industrial chemicals,2,1,Chemicals used in forestry,"Industrial chemicals are substances that are in their raw, unfinished state and are used as ingredients or components in finished products in industry, such as mechanical industry, footwear industry, construction, fire protection etc. These are similar to chemicals used in other fields (e.g. forestry, science, agriculture) as they can have the same or similar nature, being all chemicals and may originate from the same chemical company.","['1. Nature', '8. Producer / Provider']","[1, 8]"
1,Industrial chemicals,2,1,"Sensitized films, unexposed","Sentized films, unexposed, also include x-ray films.","['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
1,Industrial chemicals,2,1,Gambier,"Similar as these are natural goods, not chemicals. As such they may have the same purpose as the chemicals, but do not have the same nature.","['2. Purpose', '3. Methods of use', '6. Distribution channels', '7. Relevant public']","[2, 3, 6, 7]"
1,Industrial chemicals,2,19,"Building materials, not of metal","Industrial chemicals in Class 1 is a broad category that covers chemical compositions for use in the construction industry, such as chemical additives for mixing cement, curing and bonding conrete and reinforcing stonework. They serve to improve the longevity, attractive appearance and structural stability of stone building materials, cement and mortar which are covered by the broad category of building materials, not of metal in Class 19. Thus, these chemical compositions are important for the use (mixing, application etc.) of certain non-metallic building materials. They are commonly offered for sale together and satisfy the needs of the same consumers. Accordingly, there is a complementary relationship between the goods at issue which may result in customers thinking that the same undertaking is responsible for their production.","['4. Complementary goods / services', '7. Relevant public', '8. Producer / Provider']","[4, 7, 8]"
1,Industrial chemicals,2,1,Chemicals used in science,"Industrial chemicals are substances that are in their raw, unfinished state and are used as ingredients or components in finished products in industry, such as mechanical industry, footwear industry, construction, fire protection etc. These are similar to chemicals used in other fields (e.g. forestry, science, agriculture) as they can have the same or similar nature, being all chemicals and may originate from the same chemical company.","['1. Nature', '8. Producer / Provider']","[1, 8]"
1,Industrial chemicals,2,1,Mangrove bark for industrial purposes,"Similar as these are natural goods, not chemicals. As such they may have the same purpose as the chemicals, but do not have the same nature.","['2. Purpose', '3. Methods of use', '6. Distribution channels', '7. Relevant public']","[2, 3, 6, 7]"
1,Industrial chemicals,2,1,Sensitized plates for offset printing,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
1,Industrial chemicals,2,1,"Reagent paper, other than for medical or veterinary purposes",,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
1,Industrial chemicals,2,1,Sumac for use in tanning,"Similar as these are natural goods, not chemicals. As such they may have the same purpose as the chemicals, but do not have the same nature.","['2. Purpose', '3. Methods of use', '6. Distribution channels', '7. Relevant public']","[2, 3, 6, 7]"
1,Industrial chemicals,2,1,Catechu,"Similar as these are natural goods, not chemicals. As such they may have the same purpose as the chemicals, but do not have the same nature.","['2. Purpose', '3. Methods of use', '6. Distribution channels', '7. Relevant public']","[2, 3, 6, 7]"
1,Industrial chemicals,2,1,Fireproofing preparations,"Industrial chemicals are substances that are in their raw, unfinished state and are used as ingredients or components in finished products in industry, such as mechanical industry, footwear industry, construction, fire protection etc. Chemical companies producing industrial chemicals may also produce finished products such as fireproofing preparations. The goods may share the same distribution channels and target the same relevant public. Therefore, these are considered to be similar.","['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
1,Industrial chemicals,2,1,Photometric paper,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
1,Industrial chemicals,2,1,Chemicals used in horticulture,"Industrial chemicals are substances that are in their raw, unfinished state and are used as ingredients or components in finished products in industry, such as mechanical industry, footwear industry, construction, fire protection etc. These are similar to chemicals used in other fields (e.g. forestry, science, agriculture) as they can have the same or similar nature, being all chemicals and may originate from the same chemical company.","['1. Nature', '8. Producer / Provider']","[1, 8]"
1,Industrial chemicals,2,1,Detergents for use in manufacturing processes,"Industrial chemicals are substances that are in their raw, unfinished state and are used as ingredients or components in finished products in industry, such as mechanical industry, footwear industry, construction, fire protection etc. Chemical companies producing industrial chemicals may also produce finished products such as detergents for use in manufacturing process. The goods may share the same distribution channels and target the same relevant public. Therefore, these are considered to be similar.","['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
35,Document reproduction,2,35,Compilation of information into computer databases,,"['1. Nature', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 6, 7, 8]"
35,Document reproduction,2,35,Compilation and systemization of information into computer databases,,"['1. Nature', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 6, 7, 8]"
10,Physical therapy equipment,2,44,Human healthcare services,"These goods may be complementary to healthcare services as such equipment in Class 10 can be indispensable for carrying out said healthcare services. These goods and services are also aimed at the same public and serve the same purpose. Consequently, they are similar.","['2. Purpose', '4. Complementary goods / services', '7. Relevant public']","[2, 4, 7]"
10,Physical therapy equipment,2,44,Animal healthcare services,"These goods adapted for animals may be complementary to animal healthcare services as such physical therapy equipment in Class 10 can be indispensable for carrying out said healthcare services. These goods and services are also aimed at the same public and serve the same purpose. Consequently, they are similar.","['2. Purpose', '4. Complementary goods / services', '7. Relevant public']","[2, 4, 7]"
30,Sago,2,30,Tapioca,,"['3. Methods of use', '5. Goods / services in competition', '6. Distribution channels', '8. Producer / Provider']","[3, 5, 6, 8]"
29,Eggs,2,29,Albumen for culinary purposes,Albumen is the white of an egg and can be bought as a final product.,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
29,Eggs,2,29,White of eggs,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
29,Eggs,2,29,Powdered eggs,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 5, 6, 7, 8]"
28,Appliances for gymnastics,2,28,Palm protectors for athletic use,Typically used in combination with the earlier goods,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
28,Appliances for gymnastics,2,28,Waist protectors for athletic use,Typically used in combination with the earlier goods,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
28,Appliances for gymnastics,2,28,Arm guards for sports use,Typically used in combination with the earlier goods,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
28,Appliances for gymnastics,2,28,Knee guards [sports articles],Typically used in combination with the earlier goods,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
28,Appliances for gymnastics,2,28,Wrist guards for athletic use,,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
28,Appliances for gymnastics,2,28,Gloves for games,Typically used in combination with the earlier goods,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
28,Appliances for gymnastics,2,28,Grips for sporting articles,Typically used in combination with the earlier goods,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
28,Appliances for gymnastics,2,28,Elbow guards [sports articles],Typically used in combination with the earlier goods,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
28,Appliances for gymnastics,2,28,Leg guards adapted for playing sport,Typically used in combination with the earlier goods,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
5,Air deodorizing preparations,2,5,Disinfectants,"Air deodorizing preparations in Class 5, are used in, inter alia, hospitals and laboratories where air contamination has to be controlled due to a risk of expansion of microbes and viruses. These goods, apart from air purifying and smell neutralizing function through chemically ‘wrapping up’ unpleasant odours, may also have disinfection functions. Since the broad category of sanitary preparations for medical purposes includes disinfectants, these goods are used to eliminate germs on all types of objects, including the rooms of hospitals or surfaces of laboratories, and can even be used to disinfect the air of certain places. To that extent, these goods share the same purpose, they can be produced by the same type of undertaking, sold via the same channels of distribution and target the same relevant public.","['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
5,Air deodorizing preparations,2,11,Air deodorizing apparatus,"Air deodorising, freshening and purifying preparations in Class 5 are used for odour elimination, and it is not uncommon that they are also fragranced. These preparations are indispensable for the use of certain air deodorising and purifying apparatus in Class 11 (such as room deodorant dispensing units and deodorising apparatus for dispensing scents in motor vehicles). These goods belong to the same market sector of air fragrancing and freshening products. They satisfy the needs of the same consumers and are commonly sold in the same specialised shops and sections of supermarkets or department stores. Furthermore, they are usually sold as a set, and the public can expect that they are produced under the control of the same undertaking. Therefore, these goods are similar.","['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
5,Air deodorizing preparations,2,5,Sanitary preparations for medical purposes,"Air deodorizing preparations in Class 5, are used in, inter alia, hospitals and laboratories where air contamination has to be controlled due to a risk of expansion of microbes and viruses. These goods, apart from air purifying and smell neutralizing function through chemically ‘wrapping up’ unpleasant odours, may also have disinfection functions. Since the broad category of sanitary preparations for medical purposes includes disinfectants, these goods are used to eliminate germs on all types of objects, including the rooms of hospitals or surfaces of laboratories, and can even be used to disinfect the air of certain places. To that extent, these goods share the same purpose, they can be produced by the same type of undertaking, sold via the same channels of distribution and target the same relevant public.","['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
3,Dishwasher powder,2,3,Laundry bleach,,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
3,Dishwasher powder,2,3,Bleaching preparations,,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
9,Microphones,2,9,Microphone stands,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
42,Computer system analysis,2,42,"Installation, maintenance and updating of computer software",,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
42,Computer system analysis,2,42,Technical consultancy services relating to information technology,,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
32,Non-alcoholic preparations for making beverages,2,33,Preparations for making alcoholic beverages,"'Preparations for making beverages' in Class 32 and 'Preparations for making alcoholic beverages' in Class 33 are broad categories, which, in principle, can be considered similar because of very particular (other) goods under them being similar. ‘Preparations for making beverages’ in Class 32, among other, include ‘non-alcoholic fruit extracts used in the preparation of beverages’. Furthermore, ‘preparations for making alcoholic beverages’ in Class 33, among other, cover ‘fruit extracts, alcoholic’. When comparing these very particular goods, they are similar (nature, method of use, distribution channels, relevant public).","['1. Nature', '3. Methods of use', '6. Distribution channels', '7. Relevant public']","[1, 3, 6, 7]"
32,Beer,2,32,Soft drinks,"Soft drinks are carbonated drinks, and do not comprise non-alcoholic beer, hence they are only similar to beer.","['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public']","[2, 5, 6, 7]"
32,Beer,2,32,Ginger beer,"Ginger beer (ale) should not be confused with beer. It is a naturally sweetened and carbonated, usually non-alcoholic, beverage (soft drink).","['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public']","[2, 5, 6, 7]"
32,Beer,2,32,"Fruit nectars, non-alcoholic",,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public']","[2, 5, 6, 7]"
32,Beer,2,33,Cider,"Cider is characterized by a low-alcohol content just like beers. Cider, on the one hand, and beers, on the other, are intended to quench thirst and consumed on the same occasions and in the same places. Moreover, they are offered in the same commercial establishments, placed in the same sections (15/11/2006, T-366/05, Budweiser, EU:T:2006:347, § 45; 05/10/2011, T-421/10, Rosalia de Castro, EU:T:2011:565, § 31).","['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public']","[2, 5, 6, 7]"
32,Beer,2,32,Non-alcoholic preparations for making beverages,Preparations for making beverages would include the ingredients for making home-made beer.,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
32,Beer,2,32,Juices,"These are products with the same purpose (to quench thirst) and, therefore, can be in competition. Despite the differences in terms of alcohol content and production methods, are addressed to the same users, through the same distribution channels, either in stores or in bars or restaurants.","['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public']","[2, 5, 6, 7]"
32,Beer,2,32,Soda water,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public']","[2, 5, 6, 7]"
32,Beer,2,32,Lemonades,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public']","[2, 5, 6, 7]"
32,Beer,2,32,Carbonated water,They have the same purpose. They usually coincide in relevant public and distribution channels. Furthermore they are in competition.,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public']","[2, 5, 6, 7]"
32,Beer,2,33,Perry,"Perry is characterized by a low-alcohol content just like beers. Perry, on the one hand, and beers, on the other, are intended to quench thirst and consumed on the same occasions and in the same places. Moreover, they are offered in the same commercial establishments, placed in the same sections (15/11/2006, T-366/05, Budweiser, EU:T:2006:347, § 45; 05/10/2011, T-421/10, Rosalia de Castro, EU:T:2011:565, § 31).","['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public']","[2, 5, 6, 7]"
29,Edible oils and fats,2,29,Meat,"The broad category of meat covers goods such as pork. The broad category of edible fats covers solid or liquid substances obtained from animals or vegetables, such as cooking fats (pig fat, like lard), coconut fat, margarine, etc. Lard essentially refers to a soft white fat obtained from pigs, used in cooking. It is obtained by rendering or melting the fatty tissue of a pig. A pork farmer or butcher would typically have both lard and pork available for sale. Both goods can be offered at the butchers and meat sections of supermarkets. Finally, pork and lard can both be used by the same consumers for culinary purposes, to prepare a meal etc.","['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
11,Electrically heated mugs,2,21,"Tableware, other than knives, forks and spoons","Heating  equipment, for food and beverages, is a broad category that contains, inter alia, electric food warmers, electrically-heated mugs and electric tea warmers. The broad category of tableware comprises different objects used on the table at meals, such as dishes, plates and drinkware and other non-electric utensils used for setting the table, serving food or drink, and having a meal (e.g. candle teapot warmers). If follows that electric heating equipment for food and beverages on the one hand, and tableware on the other hand, may have the same purpose and target the same consumers who seek these goods in the same specialised shops and sections of department stores. Therefore, these goods are similar.","['2. Purpose', '6. Distribution channels', '7. Relevant public']","[2, 6, 7]"
24,Table covers,2,24,Bed throws,,"['1. Nature', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 6, 7, 8]"
24,Table covers,2,24,Bed covers,,"['1. Nature', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 6, 7, 8]"
24,Table covers,2,24,Furniture coverings of plastic,,"['1. Nature', '2. Purpose', '6. Distribution channels']","[1, 2, 6]"
24,Table covers,2,24,Curtains made of textile fabrics,,"['1. Nature', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 6, 7, 8]"
24,Table covers,2,24,Bed blankets,,"['1. Nature', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 6, 7, 8]"
24,Table covers,2,24,Towels of textile,,"['1. Nature', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 6, 7, 8]"
24,Table covers,2,24,Mattress covers,,"['1. Nature', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 6, 7, 8]"
35,Business management assistance,2,35,Business auditing,As shown in Guidelines,"['2. Purpose', '7. Relevant public', '8. Producer / Provider']","[2, 7, 8]"
35,Business management assistance,2,35,Administrative processing of purchase orders,,"['2. Purpose', '7. Relevant public', '8. Producer / Provider']","[2, 7, 8]"
35,Business management assistance,2,35,Drawing up of statements of accounts,,"['2. Purpose', '7. Relevant public', '8. Producer / Provider']","[2, 7, 8]"
5,Disinfectants,2,5,Pharmaceutical preparations,,"['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
5,Disinfectants,2,5,Adhesive plasters,,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
5,Disinfectants,2,5,Materials for dressings,,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
5,Disinfectants,2,5,Veterinary preparations,The goods of the earlier right can include products for animals.,"['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
5,Disinfectants,2,5,Bacteriological preparations for medical and veterinary use,,"['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
9,Application software,2,9,"Electronic publications, downloadable","Downloadable electronic publications are electronic versions of traditional media, like e-books, electronic journals, online magazines, online newspapers etc. It is common to distribute books, magazines and newspapers to consumers in the form of electronic publications through tablet reading devices and smartphones by means of software applications (apps). Consequently, there exists a complementary relationship between software applications (apps) and downloadable electronic publications. Their producers can be the same; they follow the same distribution channels and the public is generally also the same. These goods are considered to be similar.","['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
28,Roulette tables,2,28,Games,"Reference is made to case T-326/14, para 62.
The Court stated that ‘casino fittings, namely roulette tables, roulette wheels’ in Class 28 and the ‘games’ in Class 28 clearly have different purposes as the first group is used for the operation of casinos and games of chance, whereas ‘games’ have the purpose of entertaining. Those two groups of goods are similar on account of their complementarity and of the fact that they are used in the same establishments, namely casinos and amusement arcades and are purchased by the same professionals, namely those who are active in the field of casinos and amusement arcades.","['4. Complementary goods / services', '7. Relevant public', '8. Producer / Provider']","[4, 7, 8]"
6,Aluminium,2,6,Steel in bar form,,"['1. Nature', '2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[1, 2, 6, 7, 8]"
31,Aromatic sand [litter] for pets,2,31,Animal foodstuffs,Litter can form part of a product line and thus the producer may be the same and of course the distribution channels and relevant public.,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
42,"Creating, maintaining, and modernizing computer software",2,9,Software,,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
3,Rinsing aids for use when washing clothes,2,3,Laundry bleach,,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
3,Rinsing aids for use when washing clothes,2,3,Bleaching preparations,,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
11,Industrial cooking ovens,2,7,"Knives, electric","An industrial cooker is different from the standard consumer lines of ovens and stove tops. An industrial cooker is designed to handle huge volumes or quantities of food items. Because of the big capacity of an industrial cooker, they are able to cook more food items with less time.One example of an industrial cooker is the industrial oven. This industrial oven is very flexible because it can be used to bake, roast, or dry cook many types of food items. From bread to pizza, to meat products and vegetables, an industrial oven can handle various materials, depending on the type of food products that you want to focus on.","['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
29,Margarine substitutes,2,30,Sauces,,"['2. Purpose', '3. Methods of use', '5. Goods / services in competition', '7. Relevant public']","[2, 3, 5, 7]"
9,Credit cards,2,36,Finance services,"Although credit cards are generally manufactured by specialist undertakings, whose name may even appear on them, their issuers are financial institutions and the public will not usually consider who has actually produced a credit card, but rather who has issued it. The public will therefore believe that the financial institutions that issue credit cards are responsible for ensuring that they function correctly. Furthermore, the sole objective of producing credit cards is for use in the course of financial transactions, so that it is of little importance whether they are manufactured by entities that are distinct from the financial institutions that issue them. Furthermore, these goods, which are developed in order to provide certain specific services, would be meaningless in the absence of those services. Accordingly, ‘credit cards’ are similar to ‘financial services’ as they coincide in purpose and usual commercial origin (insofar as their issuer/provider is concerned) and they are complementary.","['2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 4, 6, 7, 8]"
12,Trailers [vehicles],2,11,Trailer lights,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public']","[4, 6, 7]"
29,Margarine,2,30,Sauces,"Although edible fats (including margarine) are often used to fry or cook food, they can also be added to food as a dressing. Sauces are any liquid or semi-liquid mixture served with food to add or enhance its flavour. The goods coincide in their purpose and method of use. Furthermore, they are in competition and target the same relevant public. These are, therefore, considered to be similar.","['2. Purpose', '3. Methods of use', '5. Goods / services in competition', '7. Relevant public']","[2, 3, 5, 7]"
6,Pipes and tubes of metal,2,6,Parts of pipes and tubes of metal included in class 6,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
15,Reeds,2,15,Musical instruments,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
28,Confetti,2,28,Decorations for Christmas trees,,"['2. Purpose', '6. Distribution channels', '7. Relevant public']","[2, 6, 7]"
5,Medicines for veterinary purposes,2,5,Adhesive plasters,,"['2. Purpose', '6. Distribution channels', '7. Relevant public']","[2, 6, 7]"
5,Medicines for veterinary purposes,2,5,Dietetic substances adapted for medical use,,"['2. Purpose', '6. Distribution channels', '7. Relevant public']","[2, 6, 7]"
16,Teaching materials [except apparatus],2,41,Teaching,"Teaching materials in Class 16 (such as printed matter) are essential and thus complementary to educational courses in Class 41. Generally, the materials are issued by the same undertaking, and share the same public and distribution channels. These goods are similar to the services in question (23/10/2002, T 388/00, ELS, EU:T:2002:260).","['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
16,Teaching materials [except apparatus],2,16,Paper,"Teaching materials include, inter alia, colouring books, activity books, notebooks to practice writing and paper includes, inter alia, writing paper and drawing paper. These goods can all be used for educational purposes, such as for recording notes, other writing or drawing and therefore they coincide in their purpose and method of use. In stationery shops and sections of department stores teaching materials can be found next to writing or drawing paper and they are directed at the same consumers.","['2. Purpose', '3. Methods of use', '6. Distribution channels', '7. Relevant public']","[2, 3, 6, 7]"
18,Leather and imitations of leather,2,24,Fabrics for textile use,"Leather and imitations of leather on the one hand, and fabrics on the other hand are raw materials used in the fashion industry, furniture and furnishings industry, also for do-it-yourself projects such as dressmaking, crafts etc. These goods have the same purpose and can be in competition. They target the same relevant public and can coincide in channels of distribution.","['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public']","[2, 5, 6, 7]"
18,Leather and imitations of leather,2,24,Fabrics,"Leather and imitations of leather on the one hand, and fabrics on the other hand are raw materials used in the fashion industry, furniture and furnishings industry, also for do-it-yourself projects such as dressmaking, crafts etc. These goods have the same purpose and can be in competition. They target the same relevant public and can coincide in channels of distribution.","['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public']","[2, 5, 6, 7]"
30,Aromatic preparations for pastries,2,30,Seasonings,both goods influence/modify the flavour (e.g. the blend of taste and smell sensed when that food product is consumed).,"['2. Purpose', '3. Methods of use', '6. Distribution channels', '7. Relevant public']","[2, 3, 6, 7]"
30,Aromatic preparations for pastries,2,30,Spices,both goods influence/modify the flavour (e.g. the blend of taste and smell sensed when that food product is consumed).,"['2. Purpose', '3. Methods of use', '6. Distribution channels', '7. Relevant public']","[2, 3, 6, 7]"
26,Artificial flowers,2,26,Decorative articles for the hair,,"['2. Purpose', '5. Goods / services in competition', '6. Distribution channels', '7. Relevant public']","[2, 5, 6, 7]"
26,Artificial flowers,2,26,Shoe trimmings,,"['2. Purpose', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[2, 6, 7, 8]"
